ID;name;slug;lat;lng;codice_provincia_istat;codice_comune_istat;codice_alfanumerico_istat;capoluogo_provincia;capoluogo_regione
1;Agliè;aglie;453.681;77.681;1;1;1001;0;0
2;Airasca;airasca;449.181;74.855;1;2;1002;0;0
3;Ala di Stura;ala-di-stura;453.154;73.026;1;3;1003;0;0
4;Albiano d'Ivrea;albiano-divrea;454.339;79.517;1;4;1004;0;0
5;Alice Superiore;alice-superiore;454.599;77.774;1;5;1005;0;0
6;Almese;almese;451.169;73.954;1;6;1006;0;0
7;Alpette;alpette;454.106;75.808;1;7;1007;0;0
8;Alpignano;alpignano;450.943;75.244;1;8;1008;0;0
9;Andezeno;andezeno;450.373;78.731;1;9;1009;0;0
10;Andrate;andrate;455.285;78.814;1;10;1010;0;0
11;Angrogna;angrogna;448.438;72.246;1;11;1011;0;0
12;Arignano;arignano;450.438;79.011;1;12;1012;0;0
13;Avigliana;avigliana;450.793;73.967;1;13;1013;0;0
14;Azeglio;azeglio;454.246;7.995;1;14;1014;0;0
15;Bairo;bairo;45.387;77.564;1;15;1015;0;0
16;Balangero;balangero;452.714;75.186;1;16;1016;0;0
17;Baldissero Canavese;baldissero-canavese;454.112;77.453;1;17;1017;0;0
18;Baldissero Torinese;baldissero-torinese;450.685;7.817;1;18;1018;0;0
19;Balme;balme;453.022;72.181;1;19;1019;0;0
20;Banchette;banchette;454.545;78.575;1;20;1020;0;0
21;Barbania;barbania;452.924;76.314;1;21;1021;0;0
22;Bardonecchia;bardonecchia;450.788;67.043;1;22;1022;0;0
23;Barone Canavese;barone-canavese;453.267;78.745;1;23;1023;0;0
24;Beinasco;beinasco;450.228;75.878;1;24;1024;0;0
25;Bibiana;bibiana;44.8;72.894;1;25;1025;0;0
26;Bobbio Pellice;bobbio-pellice;448.078;71.178;1;26;1026;0;0
27;Bollengo;bollengo;454.703;79.466;1;27;1027;0;0
28;Borgaro Torinese;borgaro-torinese;451.517;76.578;1;28;1028;0;0
29;Borgiallo;borgiallo;454.181;76.697;1;29;1029;0;0
30;Borgofranco d'Ivrea;borgofranco-divrea;455.139;78.592;1;30;1030;0;0
31;Borgomasino;borgomasino;453.642;79.888;1;31;1031;0;0
32;Borgone Susa;borgone-susa;451.212;72.398;1;32;1032;0;0
33;Bosconero;bosconero;45.268;77.641;1;33;1033;0;0
34;Brandizzo;brandizzo;451.783;78.389;1;34;1034;0;0
35;Bricherasio;bricherasio;448.245;73.066;1;35;1035;0;0
36;Brosso;brosso;45.494;78.039;1;36;1036;0;0
37;Brozolo;brozolo;451.177;80.725;1;37;1037;0;0
38;Bruino;bruino;450.212;74.646;1;38;1038;0;0
39;Brusasco;brusasco;451.558;80.595;1;39;1039;0;0
40;Bruzolo;bruzolo;451.434;71.938;1;40;1040;0;0
41;Buriasco;buriasco;448.747;74.114;1;41;1041;0;0
42;Burolo;burolo;454.822;7.935;1;42;1042;0;0
43;Busano;busano;453.331;76.571;1;43;1043;0;0
44;Bussoleno;bussoleno;451.414;71.475;1;44;1044;0;0
45;Buttigliera Alta;buttigliera-alta;45.071;74.295;1;45;1045;0;0
46;Cafasse;cafasse;452.461;75.184;1;46;1046;0;0
47;Caluso;caluso;453.059;78.969;1;47;1047;0;0
48;Cambiano;cambiano;449.694;77.731;1;48;1048;0;0
49;Campiglione-Fenile;campiglione-fenile;448.025;73.235;1;49;1049;0;0
50;Candia Canavese;candia-canavese;453.288;78.863;1;50;1050;0;0
51;Candiolo;candiolo;449.603;76.028;1;51;1051;0;0
52;Canischio;canischio;453.745;75.958;1;52;1052;0;0
53;Cantalupa;cantalupa;44.947;73.314;1;53;1053;0;0
54;Cantoira;cantoira;453.395;7.387;1;54;1054;0;0
55;Caprie;caprie;451.198;73.331;1;55;1055;0;0
56;Caravino;caravino;453.992;79.614;1;56;1056;0;0
57;Carema;carema;455.845;78.119;1;57;1057;0;0
58;Carignano;carignano;44.908;76.744;1;58;1058;0;0
59;Carmagnola;carmagnola;448.455;77.192;1;59;1059;0;0
60;Casalborgone;casalborgone;451.312;79.414;1;60;1060;0;0
61;Cascinette d'Ivrea;cascinette-divrea;454.813;79.067;1;61;1061;0;0
62;Caselette;caselette;451.058;74.821;1;62;1062;0;0
63;Caselle Torinese;caselle-torinese;451.774;76.475;1;63;1063;0;0
64;Castagneto Po;castagneto-po;451.603;78.906;1;64;1064;0;0
65;Castagnole Piemonte;castagnole-piemonte;448.992;75.674;1;65;1065;0;0
66;Castellamonte;castellamonte;45.383;77.133;1;66;1066;0;0
67;Castelnuovo Nigra;castelnuovo-nigra;454.392;76.958;1;67;1067;0;0
68;Castiglione Torinese;castiglione-torinese;451.202;78.155;1;68;1068;0;0
69;Cavagnolo;cavagnolo;451.529;80.501;1;69;1069;0;0
70;Cavour;cavour;447.857;7.375;1;70;1070;0;0
71;Cercenasco;cercenasco;448.606;75.049;1;71;1071;0;0
72;Ceres;ceres;45.313;73.889;1;72;1072;0;0
73;Ceresole Reale;ceresole-reale;454.325;72.361;1;73;1073;0;0
74;Cesana Torinese;cesana-torinese;449.529;67.937;1;74;1074;0;0
75;Chialamberto;chialamberto;453.641;73.406;1;75;1075;0;0
76;Chianocco;chianocco;451.483;71.687;1;76;1076;0;0
77;Chiaverano;chiaverano;454.986;79.048;1;77;1077;0;0
78;Chieri;chieri;450.116;78.229;1;78;1078;0;0
79;Chiesanuova;chiesanuova;38.018;126.594;1;79;1079;0;0
80;Chiomonte;chiomonte;451.192;69.815;1;80;1080;0;0
81;Chiusa di San Michele;chiusa-di-san-michele;451.053;73.283;1;81;1081;0;0
82;Chivasso;chivasso;451.899;78.843;1;82;1082;0;0
83;Ciconio;ciconio;453.312;77.597;1;83;1083;0;0
84;Cintano;cintano;454.285;76.903;1;84;1084;0;0
85;Cinzano;cinzano;450.953;79.267;1;85;1085;0;0
86;Ciriè;cirie;452.336;76.046;1;86;1086;0;0
87;Claviere;claviere;449.388;67.503;1;87;1087;0;0
88;Coassolo Torinese;coassolo-torinese;452.988;74.616;1;88;1088;0;0
89;Coazze;coazze;450.556;73.081;1;89;1089;0;0
90;Collegno;collegno;450.777;75.704;1;90;1090;0;0
91;Colleretto Castelnuovo;colleretto-castelnuovo;454.235;76.809;1;91;1091;0;0
92;Colleretto Giacosa;colleretto-giacosa;454.339;77.997;1;92;1092;0;0
93;Condove;condove;451.185;73.088;1;93;1093;0;0
94;Corio;corio;453.149;75.335;1;94;1094;0;0
95;Cossano Canavese;cossano-canavese;453.888;79.927;1;95;1095;0;0
96;Cuceglio;cuceglio;453.604;78.163;1;96;1096;0;0
97;Cumiana;cumiana;449.808;73.778;1;97;1097;0;0
98;Cuorgnè;cuorgne;453.907;76.496;1;98;1098;0;0
99;Druento;druento;451.343;75.765;1;99;1099;0;0
100;Exilles;exilles;450.986;69.303;1;100;1100;0;0
101;Favria;favria;453.322;76.917;1;101;1101;0;0
102;Feletto;feletto;453.048;7.746;1;102;1102;0;0
103;Fenestrelle;fenestrelle;450.345;70.522;1;103;1103;0;0
104;Fiano;fiano;452.178;75.239;1;104;1104;0;0
105;Fiorano Canavese;fiorano-canavese;454.688;78.349;1;105;1105;0;0
106;Foglizzo;foglizzo;45.273;78.209;1;106;1106;0;0
107;Forno Canavese;forno-canavese;453.464;75.922;1;107;1107;0;0
108;Frassinetto;frassinetto;454.378;76.078;1;108;1108;0;0
109;Front;front;452.819;76.641;1;109;1109;0;0
110;Frossasco;frossasco;449.341;73.513;1;110;1110;0;0
111;Garzigliana;garzigliana;448.371;73.741;1;111;1111;0;0
112;Gassino Torinese;gassino-torinese;451.298;78.243;1;112;1112;0;0
113;Germagnano;germagnano;452.648;74.706;1;113;1113;0;0
114;Giaglione;giaglione;451.362;70.087;1;114;1114;0;0
115;Giaveno;giaveno;450.418;73.525;1;115;1115;0;0
116;Givoletto;givoletto;451.608;7.495;1;116;1116;0;0
117;Gravere;gravere;451.267;7.019;1;117;1117;0;0
118;Groscavallo;groscavallo;453.684;72.591;1;118;1118;0;0
119;Grosso;grosso;452.575;75.584;1;119;1119;0;0
120;Grugliasco;grugliasco;450.623;75.783;1;120;1120;0;0
121;Ingria;ingria;454.663;75.712;1;121;1121;0;0
122;Inverso Pinasca;inverso-pinasca;44.945;72.181;1;122;1122;0;0
123;Isolabella;isolabella;449.075;79.102;1;123;1123;0;0
